buffer distance [km],buffer Euclidean area [°2]
9976,3.194465663052608e+04
9977,3.195884753426991e+04
9978,3.197312061251350e+04
9979,3.198747929168900e+04
9980,3.200192729635939e+04
9981,3.201646868988861e+04
9982,3.203110792284729e+04
9983,3.204584989110470e+04
9984,3.206070000614061e+04
9985,3.207566428098153e+04
9986,3.209074943634226e+04
9987,3.210596303326866e+04
9988,3.212131364113606e+04
9989,3.213681105355710e+04
9990,3.215246657061090e+04
9991,3.216829337492348e+04
9992,3.218430704407368e+04
9993,3.220052626713500e+04
9994,3.221697387794789e+04
9995,3.223367840121027e+04
9996,3.225067647291860e+04
9997,3.226801685005668e+04
9998,3.228576755281501e+04
9999,3.230402986249906e+04
10000,3.232296943393254e+04
10001,3.234289152433401e+04
10002,3.236811992557668e+04
10003,3.238931972096935e+04
10004,3.240916013546201e+04
10005,3.242804580275411e+04
10006,3.244626880551184e+04
10007,3.246398870094596e+04
10008,3.248130378822406e+04
10009,3.249828043113451e+04
10010,3.251496637623584e+04
10011,3.253139759916847e+04
